processRunId,scenario,provider,fork,block,orderPosition,phase,analysisSet,cycleObservationCount,blockValid,semanticGatePassed,performanceComparisonEligible,includedInPerformanceSummary,redeployReadyAllCycles,observedMedian_operationsPerSecond,comparisonMedian_operationsPerSecond,observedMedian_readOperationsPerSecond,comparisonMedian_readOperationsPerSecond,observedMedian_fillOperationsPerSecond,comparisonMedian_fillOperationsPerSecond,observedMedian_latencyP50Nanos,comparisonMedian_latencyP50Nanos,observedMedian_latencyP95Nanos,comparisonMedian_latencyP95Nanos,observedMedian_latencyP99Nanos,comparisonMedian_latencyP99Nanos,observedMedian_measuredLatencySamples,comparisonMedian_measuredLatencySamples
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p2-jcs321,default,jcs321,4,4,2,initial,primary-all-cycles,5,True,True,False,False,True,2642428.681863765,,2642428.681863765,,3356404.136566714,,330.0,,902.0,,200654.0,,206464.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p2-jcs321,default,jcs321,4,4,2,redeploy,primary-all-cycles,5,True,True,False,False,True,2944515.18664375,,2944515.18664375,,3575078.9824324194,,291.0,,812.0,,191886.0,,230068.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p2-jcs321,default,jcs321,4,4,2,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,2789921.6560458844,,2789921.6560458844,,3438727.6344595766,,305.0,,872.0,,198138.5,,217994.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p2-jcs321,default,jcs321,4,4,2,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,2942714.3028806457,,2942714.3028806457,,3591652.5080720377,,291.0,,837.0,,194331.5,,229930.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p3-cache2k,default,cache2k,4,4,3,initial,primary-all-cycles,5,True,True,True,True,True,31716201.646903183,31716201.646903183,31716201.646903183,31716201.646903183,1893480.0098688179,1893480.0098688179,140.0,140.0,310.0,310.0,501.0,501.0,2479148.0,2479148.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p3-cache2k,default,cache2k,4,4,3,redeploy,primary-all-cycles,5,True,True,True,True,True,31578079.23164408,31578079.23164408,31578079.23164408,31578079.23164408,1830349.314845341,1830349.314845341,140.0,140.0,320.0,320.0,511.0,511.0,2468288.0,2468288.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p3-cache2k,default,cache2k,4,4,3,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,31902867.328349873,31902867.328349873,31902867.328349873,31902867.328349873,1955282.9689655309,1955282.9689655309,140.0,140.0,310.0,310.0,491.0,491.0,2493710.0,2493710.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p3-cache2k,default,cache2k,4,4,3,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,31355252.48673929,31355252.48673929,31355252.48673929,31355252.48673929,1787182.710591443,1787182.710591443,140.5,140.5,325.0,325.0,516.0,516.0,2450814.0,2450814.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p4-nostore,default,nostore,4,4,4,initial,primary-all-cycles,5,True,True,False,False,True,101501881.17451438,,101501881.17451438,,11882115.159083698,,40.0,,161.0,,281.0,,7937828.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p4-nostore,default,nostore,4,4,4,redeploy,primary-all-cycles,5,True,True,False,False,True,103182518.58874956,,103182518.58874956,,12811593.98008822,,40.0,,160.0,,280.0,,8070604.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p4-nostore,default,nostore,4,4,4,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,101247984.19328927,,101247984.19328927,,11402637.54908808,,40.0,,161.0,,285.5,,7921208.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p4-nostore,default,nostore,4,4,4,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,103740261.781442,,103740261.781442,,13061448.500008198,,40.0,,160.0,,280.0,,8118022.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p5-ehcache,default,ehcache,4,4,5,initial,primary-all-cycles,5,True,True,True,True,True,26281226.94114405,26281226.94114405,26281226.94114405,26281226.94114405,1685852.7953799542,1685852.7953799542,161.0,161.0,271.0,271.0,461.0,461.0,2054448.0,2054448.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p5-ehcache,default,ehcache,4,4,5,redeploy,primary-all-cycles,5,True,True,True,True,True,25744678.53784705,25744678.53784705,25744678.53784705,25744678.53784705,1832105.1511102007,1832105.1511102007,170.0,170.0,301.0,301.0,531.0,531.0,2012280.0,2012280.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p5-ehcache,default,ehcache,4,4,5,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,25627580.924600072,25627580.924600072,25627580.924600072,25627580.924600072,1541646.7193696336,1541646.7193696336,165.0,165.0,280.5,280.5,496.0,496.0,2002988.0,2002988.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p5-ehcache,default,ehcache,4,4,5,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,25806157.737890773,25806157.737890773,25806157.737890773,25806157.737890773,1955842.854015096,1955842.854015096,165.5,165.5,291.0,291.0,521.0,521.0,2017042.0,2017042.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p6-caffeine,default,caffeine,4,4,6,initial,primary-all-cycles,5,True,True,True,True,True,28262514.45876727,28262514.45876727,28262514.45876727,28262514.45876727,1607200.7737707405,1607200.7737707405,140.0,140.0,271.0,271.0,471.0,471.0,2209144.0,2209144.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p6-caffeine,default,caffeine,4,4,6,redeploy,primary-all-cycles,5,True,True,True,True,True,26936891.992798835,26936891.992798835,26936891.992798835,26936891.992798835,1813594.7424613854,1813594.7424613854,140.0,140.0,291.0,291.0,461.0,461.0,2105740.0,2105740.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p6-caffeine,default,caffeine,4,4,6,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,27746553.063017555,27746553.063017555,27746553.063017555,27746553.063017555,1615256.153285646,1615256.153285646,140.0,140.0,280.5,280.5,471.0,471.0,2168700.0,2168700.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p6-caffeine,default,caffeine,4,4,6,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,27103093.48819454,27103093.48819454,27103093.48819454,27103093.48819454,1853467.8271036374,1853467.8271036374,140.0,140.0,280.5,280.5,456.0,456.0,2118592.0,2118592.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p1-jcs321,default,jcs321,5,5,1,initial,primary-all-cycles,5,True,True,False,False,True,2709606.2244476173,,2709606.2244476173,,3676488.1596860574,,330.0,,941.0,,199897.0,,211724.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p1-jcs321,default,jcs321,5,5,1,redeploy,primary-all-cycles,5,True,True,False,False,True,3028973.666180772,,3028973.666180772,,3356009.892174758,,290.0,,822.0,,193384.0,,236688.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p1-jcs321,default,jcs321,5,5,1,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,2521148.2113967817,,2521148.2113967817,,3773016.7034295322,,370.5,,991.5,,204827.0,,196994.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p1-jcs321,default,jcs321,5,5,1,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,3032552.5156470984,,3032552.5156470984,,3393961.315494348,,285.5,,816.5,,192532.5,,236954.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p2-nostore,default,nostore,5,5,2,initial,primary-all-cycles,5,True,True,False,False,True,103490565.13366164,,103490565.13366164,,14390684.046775479,,40.0,,161.0,,281.0,,8097192.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p2-nostore,default,nostore,5,5,2,redeploy,primary-all-cycles,5,True,True,False,False,True,104503219.98537152,,104503219.98537152,,12531705.214191906,,31.0,,160.0,,281.0,,8173140.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p2-nostore,default,nostore,5,5,2,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,103422621.44567738,,103422621.44567738,,13534004.058605347,,40.0,,161.0,,281.0,,8096146.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p2-nostore,default,nostore,5,5,2,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,104528341.15149158,,104528341.15149158,,12069137.49847587,,35.5,,160.0,,281.0,,8178700.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p3-jcs4,default,jcs4,5,5,3,initial,primary-all-cycles,5,True,True,True,True,True,997745.7327914049,997745.7327914049,997745.7327914049,997745.7327914049,2809555.410332758,2809555.410332758,421.0,421.0,1824.0,1824.0,270272.0,270272.0,77968.0,77968.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p3-jcs4,default,jcs4,5,5,3,redeploy,primary-all-cycles,5,True,True,True,True,True,1059556.8155241455,1059556.8155241455,1059556.8155241455,1059556.8155241455,3099424.9017094877,3099424.9017094877,431.0,431.0,1703.0,1703.0,270901.0,270901.0,82804.0,82804.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p3-jcs4,default,jcs4,5,5,3,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,975731.7355201977,975731.7355201977,975731.7355201977,975731.7355201977,3363750.545183336,3363750.545183336,451.0,451.0,1909.0,1909.0,272020.5,272020.5,76246.0,76246.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p3-jcs4,default,jcs4,5,5,3,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,1010578.3311607523,1010578.3311607523,1010578.3311607523,1010578.3311607523,3112990.087978543,3112990.087978543,415.5,415.5,1788.5,1788.5,279734.5,279734.5,78974.0,78974.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p4-caffeine,default,caffeine,5,5,4,initial,primary-all-cycles,5,True,True,True,True,True,27317948.658922818,27317948.658922818,27317948.658922818,27317948.658922818,1753363.784586635,1753363.784586635,140.0,140.0,281.0,281.0,481.0,481.0,2135392.0,2135392.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p4-caffeine,default,caffeine,5,5,4,redeploy,primary-all-cycles,5,True,True,True,True,True,25957575.99218084,25957575.99218084,25957575.99218084,25957575.99218084,1815041.1369998495,1815041.1369998495,140.0,140.0,301.0,301.0,481.0,481.0,2049528.0,2049528.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p4-caffeine,default,caffeine,5,5,4,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,27134230.841029577,27134230.841029577,27134230.841029577,27134230.841029577,1801172.6319469255,1801172.6319469255,140.0,140.0,285.5,285.5,481.0,481.0,2120932.0,2120932.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p4-caffeine,default,caffeine,5,5,4,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,25759324.99649886,25759324.99649886,25759324.99649886,25759324.99649886,1940877.9652825044,1940877.9652825044,140.0,140.0,306.0,306.0,496.0,496.0,2024028.0,2024028.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p5-cache2k,default,cache2k,5,5,5,initial,primary-all-cycles,5,True,True,True,True,True,31522505.359142225,31522505.359142225,31522505.359142225,31522505.359142225,1599522.7024255963,1599522.7024255963,150.0,150.0,321.0,321.0,501.0,501.0,2464636.0,2464636.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p5-cache2k,default,cache2k,5,5,5,redeploy,primary-all-cycles,5,True,True,True,True,True,31375857.034719463,31375857.034719463,31375857.034719463,31375857.034719463,1991569.685521189,1991569.685521189,141.0,141.0,320.0,320.0,501.0,501.0,2454952.0,2454952.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p5-cache2k,default,cache2k,5,5,5,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,32016876.14878314,32016876.14878314,32016876.14878314,32016876.14878314,1706361.910984248,1706361.910984248,145.0,145.0,316.0,316.0,501.0,501.0,2502626.0,2502626.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p5-cache2k,default,cache2k,5,5,5,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,31390862.506573945,31390862.506573945,31390862.506573945,31390862.506573945,2160062.024557819,2160062.024557819,140.5,140.5,315.5,315.5,496.0,496.0,2462650.0,2462650.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p6-ehcache,default,ehcache,5,5,6,initial,primary-all-cycles,5,True,True,True,True,True,25568981.431689773,25568981.431689773,25568981.431689773,25568981.431689773,1650255.1542006668,1650255.1542006668,170.0,170.0,281.0,281.0,521.0,521.0,1998396.0,1998396.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p6-ehcache,default,ehcache,5,5,6,redeploy,primary-all-cycles,5,True,True,True,True,True,25838327.287535187,25838327.287535187,25838327.287535187,25838327.287535187,1753594.6937627443,1753594.6937627443,161.0,161.0,280.0,280.0,491.0,491.0,2019460.0,2019460.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p6-ehcache,default,ehcache,5,5,6,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,25870075.828126527,25870075.828126527,25870075.828126527,25870075.828126527,1541738.1809307605,1541738.1809307605,165.5,165.5,275.5,275.5,501.0,501.0,2021962.0,2021962.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f05-p6-ehcache,default,ehcache,5,5,6,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,25741521.215596132,25741521.215596132,25741521.215596132,25741521.215596132,1730335.9300687788,1730335.9300687788,165.5,165.5,280.5,280.5,496.0,496.0,2011854.0,2011854.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p1-nostore,default,nostore,6,6,1,initial,primary-all-cycles,5,True,True,False,False,True,104103723.20285307,,104103723.20285307,,12503063.25049637,,40.0,,161.0,,280.0,,8155392.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p1-nostore,default,nostore,6,6,1,redeploy,primary-all-cycles,5,True,True,False,False,True,105590103.96906619,,105590103.96906619,,11997226.241293013,,40.0,,160.0,,271.0,,8263892.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p1-nostore,default,nostore,6,6,1,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,103452788.976383,,103452788.976383,,12187447.477705061,,40.0,,161.0,,280.5,,8092566.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p1-nostore,default,nostore,6,6,1,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,105664617.00476488,,105664617.00476488,,13058705.805543274,,40.0,,160.0,,271.0,,8268032.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p2-caffeine,default,caffeine,6,6,2,initial,primary-all-cycles,5,True,True,True,True,True,26509572.65647953,26509572.65647953,26509572.65647953,26509572.65647953,1695483.6723226872,1695483.6723226872,140.0,140.0,291.0,291.0,491.0,491.0,2074488.0,2074488.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p2-caffeine,default,caffeine,6,6,2,redeploy,primary-all-cycles,5,True,True,True,True,True,27131270.89679681,27131270.89679681,27131270.89679681,27131270.89679681,1835544.0626023316,1835544.0626023316,140.0,140.0,290.0,290.0,471.0,471.0,2130236.0,2130236.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p2-caffeine,default,caffeine,6,6,2,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,26478182.900063183,26478182.900063183,26478182.900063183,26478182.900063183,1666493.497319365,1666493.497319365,140.0,140.0,290.5,290.5,470.5,470.5,2080372.0,2080372.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p2-caffeine,default,caffeine,6,6,2,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,27224358.982914563,27224358.982914563,27224358.982914563,27224358.982914563,1911725.6128737435,1911725.6128737435,140.0,140.0,290.5,290.5,471.0,471.0,2136950.0,2136950.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p3-jcs321,default,jcs321,6,6,3,initial,primary-all-cycles,5,True,True,False,False,True,3019064.5080145383,,3019064.5080145383,,3481828.684279613,,291.0,,812.0,,189242.0,,235896.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p3-jcs321,default,jcs321,6,6,3,redeploy,primary-all-cycles,5,True,True,False,False,True,3184118.7107077623,,3184118.7107077623,,3498788.719345363,,271.0,,791.0,,184463.0,,248788.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p3-jcs321,default,jcs321,6,6,3,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,3037205.561227397,,3037205.561227397,,3207204.617001259,,280.5,,821.0,,184398.5,,237312.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p3-jcs321,default,jcs321,6,6,3,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,3197479.0539941313,,3197479.0539941313,,3571173.363305309,,266.0,,791.0,,103774.0,,249864.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p4-ehcache,default,ehcache,6,6,4,initial,primary-all-cycles,5,True,True,True,True,True,26056675.205439124,26056675.205439124,26056675.205439124,26056675.205439124,1504808.9178588013,1504808.9178588013,170.0,170.0,280.0,280.0,491.0,491.0,2036616.0,2036616.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p4-ehcache,default,ehcache,6,6,4,redeploy,primary-all-cycles,5,True,True,True,True,True,26800058.89574678,26800058.89574678,26800058.89574678,26800058.89574678,1752546.0989725874,1752546.0989725874,160.0,160.0,281.0,281.0,471.0,471.0,2094668.0,2094668.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p4-ehcache,default,ehcache,6,6,4,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,26209475.751602784,26209475.751602784,26209475.751602784,26209475.751602784,1432731.4567402443,1432731.4567402443,165.5,165.5,276.0,276.0,491.0,491.0,2048564.0,2048564.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p4-ehcache,default,ehcache,6,6,4,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,26215381.23837004,26215381.23837004,26215381.23837004,26215381.23837004,1897625.2339849863,1897625.2339849863,165.0,165.0,285.5,285.5,486.0,486.0,2058054.0,2058054.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p5-jcs4,default,jcs4,6,6,5,initial,primary-all-cycles,5,True,True,True,True,True,1166833.5036317997,1166833.5036317997,1166833.5036317997,1166833.5036317997,3825273.7365885903,3825273.7365885903,371.0,371.0,1423.0,1423.0,272292.0,272292.0,91172.0,91172.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p5-jcs4,default,jcs4,6,6,5,redeploy,primary-all-cycles,5,True,True,True,True,True,1124269.4677364654,1124269.4677364654,1124269.4677364654,1124269.4677364654,3814743.832322172,3814743.832322172,371.0,371.0,1533.0,1533.0,267513.0,267513.0,87884.0,87884.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p5-jcs4,default,jcs4,6,6,5,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,1200978.7384309336,1200978.7384309336,1200978.7384309336,1200978.7384309336,3992347.1729676956,3992347.1729676956,371.0,371.0,1378.0,1378.0,264120.5,264120.5,93852.0,93852.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p5-jcs4,default,jcs4,6,6,5,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,1081313.7292910146,1081313.7292910146,1081313.7292910146,1081313.7292910146,3865571.4065592503,3865571.4065592503,411.0,411.0,1643.5,1643.5,271733.5,271733.5,84510.0,84510.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p6-cache2k,default,cache2k,6,6,6,initial,primary-all-cycles,5,True,True,True,True,True,31370951.0847551,31370951.0847551,31370951.0847551,31370951.0847551,2177691.8121836632,2177691.8121836632,140.0,140.0,311.0,311.0,501.0,501.0,2477572.0,2477572.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p6-cache2k,default,cache2k,6,6,6,redeploy,primary-all-cycles,5,True,True,True,True,True,31469206.09545471,31469206.09545471,31469206.09545471,31469206.09545471,2249989.0875529256,2249989.0875529256,141.0,141.0,311.0,311.0,481.0,481.0,2459848.0,2459848.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p6-cache2k,default,cache2k,6,6,6,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,31191136.332553446,31191136.332553446,31191136.332553446,31191136.332553446,2244547.049172718,2244547.049172718,140.0,140.0,316.0,316.0,501.0,501.0,2450768.0,2450768.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f06-p6-cache2k,default,cache2k,6,6,6,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,31553017.212336265,31553017.212336265,31553017.212336265,31553017.212336265,2251583.7386594946,2251583.7386594946,141.0,141.0,311.0,311.0,481.0,481.0,2474726.0,2474726.0
