processRunId,scenario,provider,fork,block,orderPosition,phase,analysisSet,cycleObservationCount,blockValid,semanticGatePassed,performanceComparisonEligible,includedInPerformanceSummary,redeployReadyAllCycles,observedMedian_operationsPerSecond,comparisonMedian_operationsPerSecond,observedMedian_readOperationsPerSecond,comparisonMedian_readOperationsPerSecond,observedMedian_fillOperationsPerSecond,comparisonMedian_fillOperationsPerSecond,observedMedian_latencyP50Nanos,comparisonMedian_latencyP50Nanos,observedMedian_latencyP95Nanos,comparisonMedian_latencyP95Nanos,observedMedian_latencyP99Nanos,comparisonMedian_latencyP99Nanos,observedMedian_measuredLatencySamples,comparisonMedian_measuredLatencySamples
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p4-cache2k,default,cache2k,1,1,4,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,29568973.50057646,29568973.50057646,29568973.50057646,29568973.50057646,1599940.090202576,1599940.090202576,150.0,150.0,341.0,341.0,541.0,541.0,2311316.0,2311316.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p5-jcs321,default,jcs321,1,1,5,initial,primary-all-cycles,5,True,True,False,False,True,2352356.5641239956,,2352356.5641239956,,3402952.060912842,,411.0,,1072.0,,212126.0,,183808.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p5-jcs321,default,jcs321,1,1,5,redeploy,primary-all-cycles,5,True,True,False,False,True,2244704.4706340367,,2244704.4706340367,,3536868.315318884,,441.0,,1092.0,,216315.0,,175400.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p5-jcs321,default,jcs321,1,1,5,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,2424934.2762851985,,2424934.2762851985,,3421628.5460590646,,386.0,,1052.0,,209991.5,,189474.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p5-jcs321,default,jcs321,1,1,5,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,2399203.0042558853,,2399203.0042558853,,3513249.9609447205,,395.5,,1032.0,,211269.5,,187468.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p6-jcs4,default,jcs4,1,1,6,initial,primary-all-cycles,5,True,True,True,True,True,931353.8599180455,931353.8599180455,931353.8599180455,931353.8599180455,3301037.086821567,3301037.086821567,471.0,471.0,1984.0,1984.0,287550.0,287550.0,72788.0,72788.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p6-jcs4,default,jcs4,1,1,6,redeploy,primary-all-cycles,5,True,True,True,True,True,905712.8277679406,905712.8277679406,905712.8277679406,905712.8277679406,3741586.574888042,3741586.574888042,491.0,491.0,2315.0,2315.0,277051.0,277051.0,70780.0,70780.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p6-jcs4,default,jcs4,1,1,6,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,960137.6224710112,960137.6224710112,960137.6224710112,960137.6224710112,3485974.336641549,3485974.336641549,446.0,446.0,1973.5,1973.5,280211.0,280211.0,75032.0,75032.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p6-jcs4,default,jcs4,1,1,6,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,932212.9494311643,932212.9494311643,932212.9494311643,932212.9494311643,3730929.122906945,3730929.122906945,481.0,481.0,2149.5,2149.5,275688.0,275688.0,72848.0,72848.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p1-ehcache,default,ehcache,2,2,1,initial,primary-all-cycles,5,True,True,True,True,True,22715674.281386904,22715674.281386904,22715674.281386904,22715674.281386904,1347854.5794302835,1347854.5794302835,180.0,180.0,321.0,321.0,561.0,561.0,1778040.0,1778040.0
