scenario,provider,statisticalUnit,forkCount,observedForkCount,invalidBlockForkCount,studyRole,redeployReadyForkCount,forksWithTargetFindleaksObservation,forksWithThreadLeakWarning,forksWithJcsThreadSignature,forksWithJcs248CorroboratedSignal,jcs248PositiveControlCriterionMet,targetFindleaksObservationCountN,targetFindleaksObservationCountMedian,targetFindleaksObservationCountMean,targetFindleaksObservationCountSampleStandardDeviation,targetFindleaksObservationCountFirstQuartile,targetFindleaksObservationCountThirdQuartile,targetFindleaksObservationCountMinimum,targetFindleaksObservationCountMaximum,threadLeakWarningCountN,threadLeakWarningCountMedian,threadLeakWarningCountMean,threadLeakWarningCountSampleStandardDeviation,threadLeakWarningCountFirstQuartile,threadLeakWarningCountThirdQuartile,threadLeakWarningCountMinimum,threadLeakWarningCountMaximum,jcsThreadSignatureObservationCountN,jcsThreadSignatureObservationCountMedian,jcsThreadSignatureObservationCountMean,jcsThreadSignatureObservationCountSampleStandardDeviation,jcsThreadSignatureObservationCountFirstQuartile,jcsThreadSignatureObservationCountThirdQuartile,jcsThreadSignatureObservationCountMinimum,jcsThreadSignatureObservationCountMaximum,absoluteFinalHeapSlopeBytesPerCycleN,absoluteFinalHeapSlopeBytesPerCycleMedian,absoluteFinalHeapSlopeBytesPerCycleMean,absoluteFinalHeapSlopeBytesPerCycleSampleStandardDeviation,absoluteFinalHeapSlopeBytesPerCycleFirstQuartile,absoluteFinalHeapSlopeBytesPerCycleThirdQuartile,absoluteFinalHeapSlopeBytesPerCycleMinimum,absoluteFinalHeapSlopeBytesPerCycleMaximum,absoluteFinalNativeCommittedSlopeBytesPerCycleN,absoluteFinalNativeCommittedSlopeBytesPerCycleMedian,absoluteFinalNativeCommittedSlopeBytesPerCycleMean,absoluteFinalNativeCommittedSlopeBytesPerCycleSampleStandardDeviation,absoluteFinalNativeCommittedSlopeBytesPerCycleFirstQuartile,absoluteFinalNativeCommittedSlopeBytesPerCycleThirdQuartile,absoluteFinalNativeCommittedSlopeBytesPerCycleMinimum,absoluteFinalNativeCommittedSlopeBytesPerCycleMaximum,absoluteFinalWebappClassloaderSlopePerCycleN,absoluteFinalWebappClassloaderSlopePerCycleMedian,absoluteFinalWebappClassloaderSlopePerCycleMean,absoluteFinalWebappClassloaderSlopePerCycleSampleStandardDeviation,absoluteFinalWebappClassloaderSlopePerCycleFirstQuartile,absoluteFinalWebappClassloaderSlopePerCycleThirdQuartile,absoluteFinalWebappClassloaderSlopePerCycleMinimum,absoluteFinalWebappClassloaderSlopePerCycleMaximum,absoluteFinalLiveThreadSlopePerCycleN,absoluteFinalLiveThreadSlopePerCycleMedian,absoluteFinalLiveThreadSlopePerCycleMean,absoluteFinalLiveThreadSlopePerCycleSampleStandardDeviation,absoluteFinalLiveThreadSlopePerCycleFirstQuartile,absoluteFinalLiveThreadSlopePerCycleThirdQuartile,absoluteFinalLiveThreadSlopePerCycleMinimum,absoluteFinalLiveThreadSlopePerCycleMaximum
default,cache2k,independent-process-run-fork,6,6,0,current-provider-primary-comparison,6,6,0,0,0,False,6,10.0,10.0,0.0,10.0,10.0,10.0,10.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,18380.800000000003,-114585.59999999999,332356.8643587793,13312.0,26214.4,-792883.2,28160.0,6,2675456.0,2135278.9333333336,1403478.8055673356,2353817.6,2882124.8,-684236.8,2947379.2,6,0.0,-0.03333333333333333,0.08164965809277261,0.0,0.0,-0.2,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,caffeine,independent-process-run-fork,6,6,0,current-provider-primary-comparison,6,6,0,0,0,False,6,10.0,10.0,0.0,10.0,10.0,10.0,10.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,-776140.8,-515464.5333333333,424487.62369774067,-793036.8,-168268.79999999993,-809369.6,33177.6,6,-1068953.6,-22732.79999999997,2307987.4307313617,-1592294.4,2010521.5999999996,-2164428.8,2895667.2,6,-0.2,-0.13333333333333333,0.10327955589886445,-0.2,-0.04999999999999999,-0.2,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,ehcache,independent-process-run-fork,6,6,0,current-provider-primary-comparison,6,6,1,0,0,False,6,10.0,10.0,0.0,10.0,10.0,10.0,10.0,6,0.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,23552.0,-265932.8,452523.7924924081,-631782.3999999999,28006.4,-851046.4,29081.6,6,2810265.6,1415372.8,2285423.1838279124,-198067.19999999995,2919859.2,-1858048.0,2974208.0,6,0.0,-0.06666666666666667,0.10327955589886445,-0.15000000000000002,0.0,-0.2,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,jcs321,independent-process-run-fork,6,6,0,JCS-248-positive-control,6,6,6,6,6,True,6,10.0,10.0,0.0,10.0,10.0,10.0,10.0,6,10.0,10.0,0.0,10.0,10.0,10.0,10.0,6,110.0,110.0,0.0,110.0,110.0,110.0,110.0,6,8498688.0,8495513.6,18566.22417014317,8486374.399999999,8506163.2,8466432.0,8518348.8,6,49736806.4,49909725.86666667,1152876.9432521462,49671296.0,50151526.4,48239820.8,51805696.0,6,2.0,2.0,0.0,2.0,2.0,2.0,2.0,6,2.0,2.0,0.0,2.0,2.0,2.0,2.0
default,jcs4,independent-process-run-fork,6,6,0,current-provider-primary-comparison,6,6,0,0,0,False,6,10.0,10.0,0.0,10.0,10.0,10.0,10.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,43468.8,-89070.93333333333,330382.63012730354,36659.200000000004,51123.2,-763289.6,53862.4,6,2889728.0,2157021.8666666667,1963598.4143160298,2787123.2,2980505.6,-1837772.8,3236761.6,6,0.0,-0.03333333333333333,0.08164965809277261,0.0,0.0,-0.2,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,nostore,independent-process-run-fork,6,6,0,lifecycle-negative-control,6,6,0,0,0,False,6,10.0,10.0,0.0,10.0,10.0,10.0,10.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,14489.6,14609.066666666668,16436.226094656482,435.20000000000005,29465.600000000002,-2764.8,31232.0,6,2823526.4,2838135.466666667,106366.09759389819,2771916.8,2840576.0,2742169.6,3038617.6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
